iq,rotor
0.072941,9.613073
0.076308,9.629851
0.078139,9.635891
0.083561,9.649985
0.084853,9.659381
0.090944,9.676159
0.095101,9.686896
0.098661,9.688239
0.11745,9.696963
0.147523,9.706359
0.18109,9.717096
0.201262,9.720453
0.217489,9.731861
0.229461,9.744613
0.231533,9.757363
0.215829,9.764075
0.207513,9.775484
0.208132,9.78488
0.209019,9.799644
0.198778,9.804342
0.196007,9.815081
0.196246,9.829844
0.197583,9.835884
0.197444,9.844608
0.202828,9.860044
0.20023,9.872126
0.190202,9.878165
0.19454,9.891587
0.188459,9.903667
0.176945,9.919103
0.159793,9.927828
0.153737,9.940578
0.144347,9.954001
0.136049,9.969437
0.128543,9.978832
0.123072,9.988899
0.113738,10.006348
0.103587,10.020441
0.090645,10.031179
0.085333,10.041246
0.081773,10.052655
0.082019,10.064064
0.088275,10.076816
0.09737,10.086211
0.106682,10.092922
0.11871,10.105674
0.127508,10.119096
0.123195,10.137887
0.109083,10.146611
0.100966,10.161376
0.087673,10.173456
0.079433,10.188221
0.074219,10.197617
0.070072,10.215736
0.062683,10.222447
0.068911,10.236541
0.067473,10.250634
0.06382,10.265399
0.063889,10.274795
0.062977,10.27815
0.077311,10.286875
0.102408,10.302982
0.102995,10.321101
0.091717,10.339893
0.070496,10.353986
0.058692,10.365396
0.050467,10.38016
0.043259,10.390898
0.040185,10.400965
0.041474,10.417071
0.037114,10.424454
0.036212,10.436534
0.031502,10.448614
0.034649,10.464049
0.036289,10.477472
0.035601,10.494921
0.027643,10.508343
0.023503,10.527134
0.018799,10.543913
0.01429,10.560019
0.005181,10.5721
-0.000495,10.581494
-0.001175,10.594246
0.000548,10.604984
-0.000721,10.618406
0.001243,10.633842
0.001466,10.641895
0.008947,10.652634
0.010486,10.672767
0.005878,10.689545
-0.001378,10.702296
-0.001809,10.717731
-0.007312,10.727127
-0.010185,10.739879
-0.008922,10.755985
-0.009894,10.773434
-0.019269,10.793568
-0.031233,10.800279
-0.030591,10.815044
-0.032129,10.835177
-0.042901,10.846586
-0.048856,10.862693
-0.053789,10.878129
-0.056854,10.889538
-0.061601,10.90296
-0.062857,10.915711
-0.057955,10.931147
-0.058888,10.950609
-0.07147,10.966717
-0.090293,10.984165
-0.106802,10.996917
-0.113268,11.021748
-0.132941,11.038526
-0.164582,11.05866
-0.199397,11.07141
-0.214416,11.08953
-0.220343,11.097584
-0.208708,11.107651
-0.176611,11.125771
-0.155846,11.140535
-0.151721,11.155299
-0.150677,11.170735
-0.14691,11.185499
-0.145173,11.200265
-0.145717,11.219727
-0.160523,11.229794
-0.165117,11.244558
-0.153586,11.25731
-0.141172,11.271402
-0.129724,11.286168
-0.130687,11.303617
-0.134488,11.315697
-0.130929,11.327777
-0.121326,11.339856
-0.113445,11.353279
-0.105802,11.364689
-0.094163,11.370056
-0.078028,11.383479
-0.062327,11.392875
-0.051243,11.404955
-0.038988,11.415692
-0.028355,11.424417
-0.021496,11.439182
-0.017151,11.44388
-0.008885,11.457302
-0.004613,11.468711
0.000009,11.478778
0.004364,11.481462
0.013635,11.489516
0.025125,11.500254
0.037198,11.50428
0.051973,11.518373
0.060911,11.519045
0.083833,11.52777
0.110113,11.538507
0.128578,11.547903
0.138576,11.553272
0.156204,11.553943
0.190548,11.56468
0.225592,11.573406
0.246884,11.580116
0.264252,11.593539
0.264991,11.603606
0.246545,11.609646
0.236995,11.617028
0.240907,11.623068
0.254525,11.63045
0.273412,11.639175
0.29179,11.64857
0.295724,11.652597
0.302981,11.655282
0.333375,11.659308
0.373028,11.655282
0.437325,11.666019
0.496154,11.679442
0.506485,11.686824
0.474416,11.69018
0.445153,11.700246
0.416862,11.708971
0.399996,11.716352
0.385279,11.719037
0.384797,11.723064
0.407328,11.729104
0.439429,11.735815
0.460501,11.743197
0.461517,11.754606
0.447761,11.764003
0.420419,11.766687
0.405345,11.773397
0.404335,11.779438
0.414326,11.789505
0.425948,11.794873
0.436506,11.802256
0.440915,11.803598
0.452665,11.813665
0.467333,11.824403
0.459126,11.82843
0.443284,11.825746
0.456841,11.835812
0.476992,11.843865
0.479826,11.855274
0.462222,11.862657
0.432694,11.875408
0.39867,11.876079
0.382567,11.881448
0.392681,11.892857
0.405918,11.907621
0.390948,11.912991
0.369136,11.917688
0.360389,11.926413
0.363248,11.934466
0.36503,11.943861
0.362489,11.962653
0.329046,11.973391
0.284891,11.982787
0.252067,11.992853
0.236823,12.00292
0.234476,12.014329
0.229621,12.024396
0.221826,12.03312
0.222281,12.035805
0.246229,12.042516
0.286667,12.054596
0.320091,12.068018
0.323637,12.0754
0.306305,12.087481
0.283933,12.093521
0.275308,12.106943
0.271577,12.11701
0.2632,12.129761
0.25313,12.137815
0.250781,12.149223
0.247946,12.158619
0.24492,12.167344
0.251836,12.181437
0.251027,12.191504
0.25197,12.202242
0.249286,12.216335
0.239279,12.223046
0.234893,12.233784
0.233306,12.239824
0.245063,12.253246
0.256586,12.257273
0.271155,12.260629
0.302276,12.268682
0.336657,12.27942
0.367958,12.284789
0.384385,12.292842
0.39414,12.302909
0.394768,12.316332
0.376888,12.321701
0.356724,12.327741
0.349773,12.339149
0.346422,12.35123
0.336066,12.359283
0.336167,12.366665
0.336889,12.371363
0.342803,12.38143
0.353402,12.392838
0.356162,12.397537
0.358142,12.41163
0.353591,12.423038
0.330338,12.434447
0.307424,12.438475
0.307642,12.443844
0.319303,12.460622
0.317702,12.470689
0.300462,12.482098
0.282476,12.494848
0.25689,12.505587
0.236563,12.510283
0.232117,12.523035
0.240125,12.539143
0.232799,12.548537
0.218995,12.557262
0.214509,12.569343
0.213549,12.582765
0.200925,12.592832
0.19252,12.60424
0.181047,12.616992
0.166889,12.626387
0.162229,12.638468
0.16532,12.649877
0.170652,12.669338
0.152314,12.677392
0.133111,12.686789
0.129503,12.702223
0.121301,12.715646
0.109716,12.722357
0.111589,12.729068
0.125506,12.741149
0.140312,12.749202
0.150523,12.76598
0.150176,12.778059
0.136978,12.794837
0.114259,12.811616
0.094392,12.829736
0.071494,12.846513
0.054974,12.851212
0.047965,12.872016
0.041762,12.885439
0.034434,12.900203
0.030348,12.907585
0.029247,12.921007
0.029471,12.935772
0.026884,12.941813
0.035281,12.954563
0.038063,12.971342
0.032774,12.98208
0.02909,12.998857
0.023554,13.019661
0.009293,13.032413
0.008964,13.050533
0.004493,13.063284
0.002704,13.077378
0.000135,13.0908
-0.001571,13.099524
-0.004551,13.116302
-0.005573,13.131067
-0.007318,13.149187
-0.011941,13.162609
-0.014699,13.178717
-0.015129,13.196166
-0.018544,13.212272
-0.026509,13.223681
-0.027019,13.23509
-0.024733,13.251868
-0.02733,13.263947
-0.024495,13.27737
-0.025531,13.286765
-0.018651,13.29549
-0.008796,13.310926
-0.006221,13.326363
-0.007432,13.338442
-0.003578,13.351192
-0.005169,13.367299
-0.007532,13.381393
-0.009828,13.3975
-0.00695,13.408909
-0.001763,13.412936
0.007315,13.423003
0.014915,13.437096
0.017645,13.447834
0.015802,13.461927
0.014894,13.476693
0.013611,13.490114
0.015202,13.499511
0.016741,13.510248
0.019052,13.527697
0.015157,13.539105
0.014327,13.549844
0.012544,13.557225
0.018889,13.572661
0.016892,13.588768
0.016281,13.604875
0.013525,13.615613
0.011195,13.629036
0.012295,13.640445
0.009782,13.655209
0.006223,13.670644
0.004284,13.683396
0.00086,13.697489
-0.001786,13.708227
-0.000747,13.720308
0.001762,13.733059
0.003837,13.741112
0.006075,13.755877
0.006169,13.771983
0.004523,13.786077
0.004816,13.796143
0.004832,13.809566
0.007219,13.821646
0.012639,13.8297
0.013998,13.838424
0.016363,13.859228
0.01041,13.873322
0.010123,13.886073
0.006746,13.895469
0.008314,13.905536
0.011562,13.921643
0.008819,13.939092
0.003129,13.949829
0.001801,13.963922
-0.00034,13.977345
-0.003061,13.986741
-0.003664,13.99211
-0.000498,13.998821
0.007723,14.016271
0.007434,14.031035
0.005999,14.042444
0.006026,14.052511
0.007836,14.066604
0.013523,14.080698
0.012836,14.094119
0.009728,14.112911
0.002608,14.127676
-0.005038,14.140427
-0.010425,14.149823
-0.011432,14.164587
-0.011087,14.176668
-0.010547,14.188747
-0.010208,14.203512
-0.011482,14.216263
-0.011167,14.227673
-0.012163,14.235726
-0.005409,14.241766
0.002083,14.253846
0.007561,14.268611
0.010262,14.279348
0.012481,14.284718
0.019343,14.302837
0.02104,14.312233
